Channel,Offer Type,Script/Word Track,Context,Link
Conrad Niedzielski,general_ai_agency,custom scripts using Python for personalized outreach,Real Outreach Strategy Example - Breakdown for AI Automation Agency - Free Consultation,https://www.youtube.com/watch?v=6kPXO2eem98
Charlie Barber,general_ai_agency,available in the Miro board,"F*ck it. Here’s how I’m making $1,000,000 in 2026 (with AI)",https://www.youtube.com/watch?v=9YzTdC49w2k
Jarrett McCraw,outbound_calling,AI uses pre-programmed sales scripts,Listen to an A.I. sales rep cold call (and close) a prospect. #ai #sales,https://www.youtube.com/watch?v=Aw1TYVmLWDA
Pavlo,outbound_calling,The video may provide specific scripts or word tracks for effective cold calling.,Watch me book 5-7 meetings a day (ai agency cold calling),https://www.youtube.com/watch?v=CfMJ01KP_ns
Pavlo,general_ai_agency,"Yes, a specific cold calling script is mentioned",Cold Calling AI Agency Script That Gets 7 Meetings/day,https://www.youtube.com/watch?v=GCChOuvd7Sg
Adam Erhart,lead_gen,Comment trigger phrases like 'Comment leads and I'll send it over.',My Favorite Marketing Strategy for Getting Clients in 48 Hours (Free & Proven),https://www.youtube.com/watch?v=HwO7g5uHHYY
Whitney Bonds,voice_agent,A script is mentioned and offered in a free guide,Sell AI Receptionists To Local Businesses (Watch Me Sell One),https://www.youtube.com/watch?v=ImLarlOMgGo
Joey Seeman,voice_agent,sales script for selling AI receptionist deals,I Used This Script to Sell $5K AI Receptionist Deals,https://www.youtube.com/watch?v=JK2YG0QdH_0
Lee Blue - DoubleStack,chatbot|appointment_booking|lead_gen|workflow_automation,"missed call text back script: 'Hey this is [Name] with [Business], sorry I missed your call, how can I help you?'",Top 5 AI Services Local Businesses Will Buy in 2026,https://www.youtube.com/watch?v=KPuN2oXFOFM
Nate Herk | AI Automation,workflow_automation,sales scripts used in call,How I Sold a $6000 AI Workflow to a Business (Live Sales Call),https://www.youtube.com/watch?v=NSwl_E0WWKk
Jason Wardrop,lead_gen,Templates and scripts are mentioned as part of the free resources offered.,The Beginner-Friendly Way to Sell AI Solutions to Local Businesses,https://www.youtube.com/watch?v=PDJChgBI2_k
Judd Albring,general_ai_agency,sales scripts provided,NEW Side Hustle Selling AI To Small Business Owners (Full Tutorial),https://www.youtube.com/watch?v=WMWShu7h5gE
CloserX AI,appointment_booking,free scripts available through CloserX,The EXACT System to Hit $30K/Month with Your AI Agency in 2026 (Module 7),https://www.youtube.com/watch?v=_0hGcUhFySE
Mikey Again,content_creation,Scripts created using ChatGPT to target specific audience insecurities and promote products,How I Used AI To Make $2000 PROFIT in 1 week,https://www.youtube.com/watch?v=d9oQ9mudR-o
Wyatt Roderick,general_ai_agency,sales script for AI agency,My $100k per month AI agency sales script,https://www.youtube.com/watch?v=eDbydkAY5XU
Spencer Reist,appointment_booking,proven script for cold calling,How to Book 3+ Meetings a Day Web Design Cold Calling (Proven Script),https://www.youtube.com/watch?v=-POaWp9_UaM
Nick Saraev,consulting,high-ticket automation sales script,My High-Ticket Automation Sales Script,https://www.youtube.com/watch?v=280vrwBDxzQ
Norman Wang - Sell AI to Local Businesses,general_ai_agency,objection handling scripts,How To Close More Deals For AI Agencies( Objection Handling Masterclass),https://www.youtube.com/watch?v=YM27Je7LRyw
Tom Hartnell,email_automation,email templates provided,How to Automate Cold Email Outreach with AI in 2026,https://www.youtube.com/watch?v=ybQNRgVCKoA
Brandon Mulrenin,consulting,cold calling scripts for real estate agents,I found the best cold calling script of all time,https://www.youtube.com/watch?v=BrBL0YoPSBo
Cameron Olivera,consulting,cold calling script for wholesale real estate,The EXACT Cold Calling Script That’s Made Me Millions Wholesaling,https://www.youtube.com/watch?v=MPHdNIiB_8E
