Relevance,Offer Type,Channel,Video Title,Views,Target Audience,Target Niche,Setup Fee (Low),Setup Fee (High),Monthly (Low),Monthly (High),Pricing Model,Revenue Claim,Delivery Method,Tools,Client Acquisition,Time to Deliver,Team Needed,Key Insight,Best Quote,Link
9,voice_agent|chatbot|appointment_booking|lead_gen,Mikey No Code,How to Sell AI Agents to Local Businesses In 2026 (START HERE),20930,B2B,"local businesses, mobile businesses",,,,,setup_plus_retainer,generate real revenue for businesses,delivered through Base 44 platform,Base 44 Super Agent,offering a practical solution for businesses,not specified,solo,"AI agents can automate lead handling, appointment bookings, and customer interactions to improve business efficiency.","An AI agent works differently. It responds to the question, then it continues the conversation by asking follow-up questions, qualifying the lead, guiding the customer towards a decision, booking the appointment, and then storing the information automatically.",https://www.youtube.com/watch?v=HTWrhbtETuI
9,appointment_booking,Pavlo Moments,Top 5 AI Services To Sell in 2026,583,B2B,"local businesses, contractors, remodelers",,,70,150,subscription,thousands every month,integrated AI tools via GoHighLevel platform,"GoHighLevel, Squarespace, Weebly, WordPress, Web Flow",demonstrating live client results and offering easy setup,set up in just three clicks,1-2 people,"Local businesses prioritize results over technical details, making AI-driven appointment booking highly valuable.","For the business owner, this is like a live sales agent that works 24/7, never takes time off 7 days a week all year long.",https://www.youtube.com/watch?v=K4vcgzBMdHA
9,voice_agent,Dan Martell,The Only 14 Ways to Make Money with AI in 2026,643188,B2B,"plumbers, HVAC, law firms, dental clinics",,,500,1500,monthly_only,most of which are making millions,AI phone agent,,"talk to local businesses, Google local",,1-2 people,"Voice is the path to AI doing a lot of stuff for us, and businesses are not widely adopting it yet.","It's a full-time receptionist that doesn't sleep, doesn't complain, doesn't get sick, doesn't quit, and it helps businesses where one missed call could cost them thousands.",https://www.youtube.com/watch?v=K8Ros5RhJW4
9,general_ai_agency,Sharbel A.,7 AI Agents That Print Money in 2026 (Real Examples),6467,Both,"content creators, founders, early-stage builders",,,200,200,subscription,"AI agents are making approximately $2,150 per month in direct creator revenue, and Unfundable Clips generates about $30,000 a month.",AI agents automate tasks and processes,"Anthropic subscription, OpenClaw, Claude code","Content agents create viral content that attracts potential clients, leading to conversations and conversions.",one day for web app using clot code and open claw,solo,AI agents can automate complex tasks and generate significant revenue with minimal human intervention.,Max costs me about $200 a month through anthropic subscription.,https://www.youtube.com/watch?v=M-BuvknrDYc
9,voice_agent,Greg Isenberg,My Voice AI Agent Negotiated 800+ Business Deals in 1 Day (FULL Tutorial),187763,B2B,businesses looking for automated negotiation solutions,,,,,null,Negotiated 800+ business deals in 1 day,AI technology,voice AI,Not specified,,small team,Voice AI can significantly scale negotiation processes.,Join me as I chat with Tony Ge about building Voice AI Agents.,https://www.youtube.com/watch?v=MAFHmyURRXo
9,workflow_automation,Michele Torti,How I Built an AI Agency from $0 to $100K in 12 Months (Full Roadmap),10795,B2B,businesses needing automation solutions,,,,,setup_plus_retainer,Made over six figures in 12 months,Delivered through workflow automation tools like make.com,"make.com, Zapier, N8N",Booked over 400 calls through a consistent lead generation method,Initial learning phase of about 2 weeks,solo,Focus on one tool and become good at it to effectively solve business problems.,Focus is fundamentally the most important thing.,https://www.youtube.com/watch?v=MuhBNocVnEw
9,voice_agent,John Whitford,This simple AI service is worth $500 per month to business owners,29157,B2B,local businesses,,,300,600,monthly_only,"10 clients is $5,000 per month",AI voice widget or phone number integration,,Offer a free trial and demonstrate the service's value,1 day,solo,"Businesses value a consistently happy, punctual, on-time receptionist that books calls.",You're not selling a software. You're really selling a solution to a common problem any business experiences on a daily basis.,https://www.youtube.com/watch?v=Oz8MUOUPymo
9,lead_reactivation,Oliver Rasmussen,Top 5 AI Agents to Sell in 2026,1911,B2B,"insurance companies, dentists, lawyers, companies with mid to high ticket offers",,,,,setup_plus_retainer,around 2K a day and 60K every single month,via Go High Level or Build My Agent setup for SMS,"Go High Level, Build My Agent",not specified,,1-2 people,Target companies with a high volume of leads and mid to high ticket offers for effective lead reactivation.,Fortune is in the follow-up.,https://www.youtube.com/watch?v=QmRIMvYV8wg
9,appointment_booking,Dan Martell,These 5 AI Businesses Will Make You $1M (With Zero Employees),1850136,B2B,"various industries such as medspas, lawn care, and agency founders",,,,,setup_plus_retainer,"Potential to make $500 to $1,000 a day.",AI-driven phone calls and scheduling,youratlas.com,Outreach to specific niches and pre-sell the service.,Initial manual setup followed by automation,solo,Validate the niche and pre-sell before building the service.,"Literally, you could be making $500 to $1,000 a day easily just by talking to businesses that want to make more money.",https://www.youtube.com/watch?v=RJGo6K3-gHg
9,general_ai_agency,Nate Herk | AI Automation,The TRUTH About Selling AI Automations to Businesses,71633,B2B,"various industries, with a focus on specific niches like hair and beauty or gyms",,,,,setup_plus_retainer,"sold first LinkedIn agent for $1,200",customized AI solutions tailored to business needs,,positioning as an expert in a niche and demonstrating value,"quick, effective solutions",solo,"Sell the outcome and value, not the technical details of the AI solution.","Sell the destination, not the vehicle.",https://www.youtube.com/watch?v=SAerRtQLD0I
9,review_automation,Jason Wardrop,How To Sell AI Review Automation to Local Businesses (Full Guide),3531,B2B,"local service businesses such as plumbers, electricians, gyms, chiropractors",,,300,500,subscription,charge as much as $300 to $500 per month per small local business,AI automation software with pre-built agents,"AI automation software, Google My Business","search for businesses with few reviews, reach out with call scripts",5 to 10 minutes setup,solo,Businesses with more reviews and higher ratings get more visibility and customers.,"The setup takes about 5 to 10 minutes to set up one time, but it continues to add value to these small local businesses.",https://www.youtube.com/watch?v=StTmYHPHElQ
9,general_ai_agency,Dan Martell,The 6 Most Profitable AI Businesses to Start in 2026,524679,B2B,"business owners, content creators, large companies",,,10000,30000,setup_plus_retainer,10 to 30k a month with 5 to 7 clients,service-based delivery using AI tools,"Chad GBT, Gemini, Fixer, opusclips.com, descript.com",finding customers through networking and leveraging free tools,low to medium effort depending on the business type,1-2 people,Focus on high-income buyers and growing markets for long-term success.,"To make money, you want to solve rich people problems.",https://www.youtube.com/watch?v=X_X7WE1JBRg
9,voice_agent,Adam Erhart,The Simplest AI Agency to Start in 2026 (Step-by-Step),4412,B2B,"local businesses such as dentists, roofers, plumbers, HVAC, landscapers, lawyers, auto repair, electricians, chiropractors, contractors, med spas, pet groomers, funeral homes, pest control, power washing",,,297,297,monthly_only,build this out to 10K per month,AI receptionist service setup,,simple copy and paste DM script,,solo,Focus on a single niche to ensure targeted messaging and better results.,You help local businesses stop missing phone calls. You set out something called an AI receptionist.,https://www.youtube.com/watch?v=ZkwT2C17tjM
9,general_ai_agency,Zack Kirk,"The ONLY 2 Ai Agents I sell to make $85,000/Month",23407,B2B,business owners,10000,20000,,,setup_plus_retainer,"$85,000/month with over half as recurring revenue",Sales calls and backend development by a team,,"Sales calls, outreach by a team, ads",,small team,Delegating backend work allows for scaling and higher client intake despite lower profit margins.,"I fill my calendar up for sales calls. I sell three AI agents that day. I make $30,000 in a single day.",https://www.youtube.com/watch?v=Zo_kg8mhzTs
9,general_ai_agency,Serge Gatari,The NEW Way to Start an AI Agency in 2026 (from a $15M Founder),24782,B2B,"dental clinics, med spas, online education, aesthetic clinics, real estate, law firms, HVAC, mining companies, Amazon brands, consulting, e-commerce, restaurants",2000,15000,,,setup_plus_retainer,"Generated millions by launching and scaling over 200 AI startups, with clients making six figures monthly.",Through a master class and incubator program,,Predictable lead generation and pre-sold clients through a documented acquisition system,3 to 6 months to build a six-figure AI firm,small team,Focus on owning intelligence and renting it out through AI platforms rather than just selling AI tools.,The demand for AI is simply insatiable.,https://www.youtube.com/watch?v=dovZfAyS_Sg
9,chatbot,Chris Koerner on The Koerner Office Podcast,This Might Be the Easiest Way to Sell AI to Businesses,62821,B2B,"small businesses, specifically mentioned tree trimming and plumbing",,,500,2000,monthly_only,"$500 to $2,000 a month per client service",delivered through GoHigh Level platform,"GoHigh Level, Claude, ChatGPT, Grock",using ringless voicemail drops and the same AI setup to find and close small business customers,,solo,"Use the same AI setup to find and close clients, a method called 'dog fooding'.","This is a $500 to $2,000 a month per client service.",https://www.youtube.com/watch?v=g4-3AxelI_Y
9,general_ai_agency,Liam Ottley,The AI Automation Agency Journey Explained (3 Key Phases),41711,B2B,"construction, healthcare",3000,5000,,,project_based,"Projects can range from $10,000 to over $100,000.",custom development and low code/no code tools,"Botpress, Voiceflow, Make.com, Zapier","content marketing, ads, cold email system",,small team,Starting with low code/no code tools allows non-technical individuals to enter the AI space and build expertise.,"The magic part of it is that if you are nontechnical, you can now start to ease into it.",https://www.youtube.com/watch?v=hqxvIju_yjs
9,lead_reactivation,Jason Wardrop,Sell AI Automation to Local Businesses (Beginner Step-by-Step Guide),307652,B2B,"small local businesses such as plumbers, electricians, massage therapists, and restaurants",,,300,500,monthly_only,"Generate an additional $1,500 per month with five clients at $300 each.",Automated text-back system setup using AI,"Automated text-back system, ROI calculator",Cold calling businesses found via Google search,2 minutes to set up the service,solo,Use an ROI calculator to make the value proposition a no-brainer for small business owners.,"We only charge $297 per month so you have over 1,000% ROI if you simply just work with us.",https://www.youtube.com/watch?v=iUNzRKOC25w
9,general_ai_agency,Adam Erhart,How to Actually Start a PROFITABLE AI Agency in 2026,17978,Both,,,,,,null,"Multiple seven-figure agencies, clients like Google, Amazon, Meta, and Adobe.",Online training and resources,Agency OS,Waterfall pricing and a no fail sales system,,solo,Super stacking services to design a high-profit offer,"Starting and growing a simple AI agency is the fastest, easiest, and most effective way to make six or seven figures online and achieve true time, location, and financial freedom.",https://www.youtube.com/watch?v=s2KTYJOU7Yw
9,general_ai_agency,Carson Reed,How I would start an Ai Agency from $0 in 2026 (complete guide),13363,B2B,"real estate, plumbing, HVAC companies",5000,10000,,,setup_plus_retainer,hundreds of thousands to millions of dollars in revenue,build and deliver AI solutions and marketing services,,charging upfront fees and recurring payments for maintenance,,1-2 people,AI agencies can maintain high profit margins (70-80%) with high demand and relatively simple fulfillment compared to traditional models.,"What I'm going to be showing you guys in this video is something you can be charging $5 to $10,000 upfront for.",https://www.youtube.com/watch?v=tUNPynAEFCY
9,voice_agent,Adam Erhart,The $500/Month AI Service ANY Business Will Pay For,5060,B2B,"local businesses such as plumbers, dentists, gyms, HVAC companies, and contractors",500,1500,497,497,setup_plus_retainer,"By signing 10 clients at $497 per month, you can generate just under $5,000 in monthly recurring revenue.",Delivered through HighLevel software as a voice AI agent setup.,HighLevel,Highlighting the loss of revenue from missed calls and offering a solution to capture that revenue.,1-2 hours per client setup,solo,"The service solves the problem of missed calls, which leads to lost revenue, by providing an AI system that answers calls immediately.","You're not selling software, you're selling a missed revenue recovery system.",https://www.youtube.com/watch?v=trNa8SC2cXQ
9,voice_agent,Michele Torti,6 AI Agency Offers That Actually Make Money in 2026,29095,B2B,"med spas, beauty salons, hair salons, nail salons, home service businesses like HVAC, landscaping, roofers, dental clinics",2000,15000,400,3000,setup_plus_retainer,close deals anywhere from 1K to 15K,"voice agent setup using AnyTen, Retail AI, and Twilio","AnyTen, Retail AI, Twilio",cold calling,within a matter of weeks,1-2 people,Focus on offers that either make or save the business money with a clear ROI.,"If a business can't look at what you're offering and immediately understand how it pays for itself, then you're going to have a very hard time to be able to close that deal every single time.",https://www.youtube.com/watch?v=vYRUpnnePmA
9,general_ai_agency,Liam Ottley,How to Build & Sell AI Agents: Ultimate Beginner’s Guide,2787518,B2B,various industries,,,,,project_based,Generated over $5 million in revenue with AI businesses.,AI systems and agents are built for businesses.,no-code platforms,Through YouTube channel and AI business community.,,small team,"AI literacy can significantly increase employee output, making it a valuable skill for the future.",Learning how to build AI agents has completely changed my life.,https://www.youtube.com/watch?v=w0H1-b044KY
9,crm_automation,Nick Saraev,Ranking Every AI Service You Can SELL in 2025,52528,B2B,"sales teams, automation agencies",,,,,setup_plus_retainer,"$72,000 a month",AI-generated proposals delivered via PDF or document tools,"LLM, PandaDoc, Google Slides",demonstrating ROI through improved conversion rates,a few minutes,1-2 people,Quickly delivering detailed proposals after sales calls significantly boosts conversion rates.,"If you can have a sales call with them and then within 30 minutes send them over an extraordinarily detailed, super customized proposal... they're going to be in the mood to buy.",https://www.youtube.com/watch?v=whXs1RaQIDA
9,voice_agent,Connor Cahill,The Ultimate Guide to Selling Ai Receptionists in 2026,7884,B2B,small businesses,,,1000,2000,monthly_only,"Scale your AI agency to $100,000 per month.",AI receptionist service delivered via phone calls,,Using Facebook groups and AI content to drive leads to book calls.,1 hour per business setup,solo,"Use AI to handle initial sales calls and book appointments, leveraging curiosity and FOMO in marketing.",I have an AI receptionist who can take calls 24/7. Never misses a call. Sounds like a human and can book people on your calendar.,https://www.youtube.com/watch?v=z30RQTvdEuc
9,voice_agent,Automate AI Consulting,5 AI Services That Sell for $5K+,20104,B2B,local businesses,1000,5000,500,1000,setup_plus_retainer,"Generated an additional $118,000 and saved $1,600 a month.",AI voice agents,,Free school community and four-week challenge,,solo,"Price based on the value created for the business, not the time it takes to set up.",You're not pricing based on the time that it takes to set it up. You're pricing based on the value you're creating for the business.,https://www.youtube.com/watch?v=z84sIOLYFpk
9,general_ai_agency,Jason Wardrop,How AI Agents for Small Businesses Actually Work (And How to Offer Them),36126,B2B,small local businesses,,,300,500,monthly_only,You can charge as much as $300 to $500 per month per small local business.,online setup using AI automation software,"AI automation software, Google My Business",Finding small local businesses with few reviews via Google search and reaching out with call scripts.,5 to 10 minutes setup time,solo,Target businesses with few reviews to help them improve their online presence and generate more organic traffic.,The setup takes about 5 to 10 minutes to set up one time but it continues to add value to these small local businesses.,https://www.youtube.com/watch?v=z8cwJhwKoNk
9,lead_reactivation,Charlie Barber,5 AI Services To Sell For $5000 in 2026 (nobody talks about these),3422,B2B,"coaches, established businesses like MedSA",,,,,setup_plus_retainer,"businesses are missing out on $30,000 to $100,000 per year by not following up with past customers",automated outreach using AI tools,"Messenger Flow, autoleads.app, instantly.ai, GHL, CRM","cold email campaigns, outreach to businesses",,solo,AI lead reactivation is a low barrier to entry service with high value for businesses.,"Most businesses, especially established ones like MedSA, are missing out on 30 to $100,000 on average per year just because they're not following up with their past customers.",https://www.youtube.com/watch?v=z_TNqj6Cu4E
8,voice_agent,HighLevel,Inbound Voice AI Receptionist Demo In HighLevel,36740,B2B,businesses needing call handling,,,,,subscription,,AI voice system integrated into business phone systems,HighLevel,through HighLevel platform and marketing,,small team,"AI receptionists can handle calls 24/7 without breaks, ensuring no missed opportunities.","Ready to have an always available, never sick, fully trained employee to answer every missed call.",https://www.youtube.com/watch?v=-7gxT6k2-g4
8,general_ai_agency,Serge Gatari,"Day 1 - Livestreaming Until I Build a $1,000,000/Month Business with AI",4706,Both,online businesses,,,,,null,"$1,000,000/month business goal",livestreaming and online resources,Truth Engine,online presence and marketing,,small team,Using AI to reshape traditional business scaling methods.,Re-shaping The Playbook Of Building & Scaling Companies Online.,https://www.youtube.com/watch?v=-GUS-rJwb-4
8,voice_agent,Charlie Barber,I Built the BEST AI Voice Agent For Free (No-Code) 2026,8411,Both,general,,,,,null,,online training and templates,systemkit.io,through free AI training and templates,,solo,Utilizing no-code platforms to create AI voice agents for free.,,https://www.youtube.com/watch?v=-KTjgnP0-jI
8,general_ai_agency,Wealth Wisdom,Steal my $10k/Month AI Influencer Strategy (Full Guide),5575,Both,"influencers, content creators",,,,,outcome_based,$10K per month,online tutorial,AI tools,organic growth through content creation,,solo,Leveraging AI to automate content creation and engagement can generate significant passive income.,How I Built an AI Influencer That Makes $10K/Month.,https://www.youtube.com/watch?v=-Lu2FlSZKd8
8,consulting,Nicole McCain,This AI Consulting Strategy Will Make You $100k Fast,680,Both,general,,,,,null,Make $100k fast,consulting services,,Not specified,,solo,You can start an AI consulting business without technical skills.,,https://www.youtube.com/watch?v=-TFXSGABlRE
8,voice_agent,Ivy & Joy,"💸 How an AI Voice Agent Closes Sales, Handles Objections, and Books Clients For You 💼",71,B2B,sales and customer service,,,,,subscription,,automated voice interactions,,,,small team,Automating customer interactions can increase efficiency and sales.,,https://www.youtube.com/watch?v=-iz1pLy4k5E
8,email_automation,Digibase Media,Best AI Email Marketing Tools (I Ranked Them) 2026!,9805,B2B,email marketing,,,,,subscription,,software tools,AI email marketing tools,,,solo,AI tools can significantly enhance the effectiveness of email marketing campaigns by automating processes and improving content quality.,,https://www.youtube.com/watch?v=-jAwB84W-Zs
8,voice_agent,GHL Wizard,Sell AI Receptionists To Local Businesses (Even If You're A Beginner),11091,B2B,local businesses,,,,,setup_plus_retainer,,online platform,GoHighLevel,through offering free trials and bonuses,,solo,Utilizing AI receptionists can streamline business operations for local businesses.,,https://www.youtube.com/watch?v=-y7HrCwU-4A
8,general_ai_agency,Oliver Rasmussen,How I Price My AI Agents to Make $400k/Year,1625,B2B,,,,,,setup_plus_retainer,$400k/year,,,,,1-2 people,Effective pricing strategies can significantly boost annual revenue.,,https://www.youtube.com/watch?v=03iQTUd-F1k
8,content_creation,Christian Peverelli - WeAreNoCode,"How To Build an $80,000 One-Page Website With AI",193315,B2B,"web development, startups",,80000,,,project_based,"$80,000 for a one-page website",online course or tutorial,Supabase,through online marketing and educational content,,solo,Leveraging AI tools can significantly increase the value and efficiency of web development projects.,"Building a one-page website with AI can be valued at $80,000.",https://www.youtube.com/watch?v=0H15h2ZpRN8
8,voice_agent,Retell AI,Retell AI - Hyper Realistic AI Voice Agent,101639,Both,industries,,,,,subscription,,AI voice agents,,,,small team,"The AI voice agents are designed to sound like real humans, enhancing customer interaction.",,https://www.youtube.com/watch?v=0LT64_mgkro
8,general_ai_agency,JP Middleton,This AI Business Will Make You $1M (With Zero Employees),42026,Both,,,,,,null,potentially making $1M,online,,not specified,,solo,Starting an AI business with zero employees is possible and can be highly profitable.,I'll show you the simple AI business model and the fast way to start with zero employees.,https://www.youtube.com/watch?v=0NDATb9zI8M
8,general_ai_agency,SixFlow Automations,How I Book Meetings with Cold Calling for My AI Agency (Full Guide),757,B2B,general,,,,,,,cold calling techniques,,cold calling,,solo,Cold calling is an effective method for booking meetings in a B2B context.,,https://www.youtube.com/watch?v=0Ouvo_DLW9I
8,general_ai_agency,Nick Saraev Daily Updates,Building a profitable AI agency cold email campaign in 40min,15526,B2B,general businesses,,,,,project_based,,online strategies and tools,cold email tools,cold email campaigns,40 minutes,solo,Using cold email campaigns can effectively acquire clients for an AI agency.,Building a profitable AI agency cold email campaign in 40 minutes.,https://www.youtube.com/watch?v=0QI9KoizfH8
8,general_ai_agency,Liam Ottley,"From Non-Technical to $300,000 Per Month with AI Automation",124475,B2B,various industries,,,,,setup_plus_retainer,"$300,000 per month",online resources and community support,"Zapier, Make (formerly Integromat), OpenAI",networking and community engagement,varies based on project,small team,Leveraging AI tools can enable non-technical individuals to create high-revenue businesses.,You don't need to be a tech expert to succeed in AI automation.,https://www.youtube.com/watch?v=0REJDVvBvWQ
8,general_ai_agency,Albert Olgaard,I built this AI Agent in 1 hour (and got paid $1200),4493,B2B,various industries,,,,,project_based,Earned $1200 from building an AI agent in 1 hour.,Delivered as a digital service or product,AI development tools,Through online platforms or direct outreach,1 hour,solo,Quickly building and deploying AI solutions can be highly profitable.,I built this AI Agent in 1 hour (and got paid $1200),https://www.youtube.com/watch?v=0YEI9Jt1tN0
8,general_ai_agency,ItsKeaton and Walt Bayliss,How He is Closing $4k/mo Clients with AI (For Real),3595,B2B,various industries,,,4000,,monthly_only,$4k/month per client,consultations and AI solution implementations,HighLevel,leveraging AI tools and strategies to attract clients,,small team,Using AI tools like HighLevel can significantly enhance client acquisition and retention.,AI is transforming how we approach client acquisition and service delivery.,https://www.youtube.com/watch?v=0ZMssVOhLZg
8,voice_agent,TheraSaaS,TheraSaaS Voice AI Receptionist: Live Demo Call,175,B2B,"healthcare, therapy practices",,,,,subscription,,delivered as a SaaS platform,,through scheduling a platform demo,,small team,"Voice AI can efficiently manage receptionist tasks, freeing up human resources.",,https://www.youtube.com/watch?v=0nwnOt7NKWU
8,voice_agent,Connor Cahill,I Sold 87 AI Receptionists in 30 Days ($497/mo Clients),44708,B2B,service industries,,,497,,monthly_only,87 AI receptionists sold in 30 days,likely through a SaaS platform or service,,through booking free calls via a link provided in the video description,,small team,Focus on selling AI receptionists as a monthly service to generate recurring revenue.,,https://www.youtube.com/watch?v=11kmQUpuUJI
8,general_ai_agency,Ai Pimpin,How I Built a $50K/Month AI Model Agency in 2025 (Full Blueprint),4374,B2B,various industries,,,,,setup_plus_retainer,$50K per month,online courses and consulting,"AI models, automation tools",through online marketing and networking,varies based on project,small team,Focus on niche markets and leverage AI models to automate processes.,'The key to scaling is automating as much as possible with AI.',https://www.youtube.com/watch?v=138Zedty6Bs
8,lead_gen,Jordan Platten,How to Start a AI Lead Generation Agency (2026) - Step by Step,124900,B2B,various industries,,,,,setup_plus_retainer,"Get your next 10 clients, guaranteed",online consultations and AI tool integration,AI tools,through targeted outreach and leveraging AI for prospecting,varies based on client needs,small team,Utilizing AI tools can significantly enhance lead generation efficiency and client acquisition.,"Get your next 10 clients, guaranteed.",https://www.youtube.com/watch?v=17IN88G0dOo
8,saas_product,Kevin Park,How I Built a SaaS Startup (From Idea to Revenue),749495,B2B,tech startups,,,,,subscription,The video mentions achieving revenue but does not specify amounts.,The SaaS product is delivered online as a service.,SaaS development tools,"The video likely discusses strategies for acquiring clients, such as marketing and networking.",The timeline from idea to launch is discussed but not specified.,small team,Focus on solving a real problem and iterating based on user feedback.,"Starting a SaaS business is challenging, but I did it!",https://www.youtube.com/watch?v=180KJQryGwc
8,email_automation,Mailscale,I Copied Alex Hormozi's Cold Email Strategy with AI (it worked),1843,B2B,"marketing, sales",,,,,subscription,,online platform,Mailscale,organic YouTube traffic,,solo,Using AI to automate and personalize cold email outreach can replicate successful strategies like those of Alex Hormozi.,,https://www.youtube.com/watch?v=1G3GlxjzxvY
8,voice_agent|appointment_booking,Quinn Nolan,How To Build GoHighLevel Voice AI Agents (& Sell Them) That Book Appointments,3659,B2B,businesses using GoHighLevel,,,,,setup_plus_retainer,,delivered through GoHighLevel platform,GoHighLevel,through online marketing and community engagement,,solo,Utilizing GoHighLevel to create voice AI agents can streamline appointment booking for businesses.,,https://www.youtube.com/watch?v=1gGKiHEBeuU
8,general_ai_agency,Carson Reed,Beginners Complete AI Agency Tutorial for 2026 (10+ Hour Guide),130711,Both,various industries,,,,,null,,online tutorial,,gameplan calls,,solo,Starting an AI agency can be accessible with the right guidance and resources.,,https://www.youtube.com/watch?v=1kJ8IUANR8s
8,consulting,Mert Yerlikaya,"How I Sell $10,000 AI Audits (Our EXACT 5-Step Process)",7575,B2B,various industries seeking AI optimization,,,,,project_based,"generated over $300,000",consultations and reports,AI Audit Report Template,through offering free AI audit report templates and showcasing expertise,,small team,Offering a free AI audit report template can attract potential clients and demonstrate value.,,https://www.youtube.com/watch?v=1leregs81ik
